Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1998,Blues Brothers 2000,14.147,511,Low_Rated,Action
1998,Blues Brothers 2000,14.147,511,Low_Rated,Comedy
1998,Blues Brothers 2000,14.147,511,Low_Rated,Crime
2011,The Lost Bladesman,14.146,79,Average_Performer,History
2011,The Lost Bladesman,14.146,79,Average_Performer,Drama
2011,The Lost Bladesman,14.146,79,Average_Performer,Action
2011,The Lost Bladesman,14.146,79,Average_Performer,War
2019,Ted Bundy: Mind of a Monster,14.145,35,Blockbuster,Crime
2019,Ted Bundy: Mind of a Monster,14.145,35,Blockbuster,Documentary
2018,Blindspotting,14.145,500,Blockbuster,Comedy
2018,Blindspotting,14.145,500,Blockbuster,Drama
2005,Bratz: Rock Angelz,14.145,37,Average_Performer,Animation
2005,Bratz: Rock Angelz,14.145,37,Average_Performer,Family
1990,Bullet in the Head,14.145,179,Blockbuster,Thriller
1990,Bullet in the Head,14.145,179,Blockbuster,Crime
1990,Bullet in the Head,14.145,179,Blockbuster,Drama
1990,Bullet in the Head,14.145,179,Blockbuster,Action
1990,Bullet in the Head,14.145,179,Blockbuster,War
2016,You're Killing Me Susana,14.144,87,Average_Performer,Romance
2016,You're Killing Me Susana,14.144,87,Average_Performer,Drama
2016,You're Killing Me Susana,14.144,87,Average_Performer,Comedy
1996,Bloodsport II,14.142,85,Low_Rated,Action
1996,Bloodsport II,14.142,85,Low_Rated,Thriller
2019,Paradise Beach,14.141,130,Low_Rated,Action
1978,Paradise Alley,14.141,93,Low_Rated,Action
1978,Paradise Alley,14.141,93,Low_Rated,Drama
1978,Watership Down,14.141,466,Blockbuster,Adventure
1978,Watership Down,14.141,466,Blockbuster,Animation
1978,Watership Down,14.141,466,Blockbuster,Drama
2014,Felony,14.14,138,Low_Rated,Mystery
2014,Felony,14.14,138,Low_Rated,Thriller
2014,Felony,14.14,138,Low_Rated,Crime
1986,Sid and Nancy,14.139,368,Well_Received,Drama
1986,Sid and Nancy,14.139,368,Well_Received,Romance
2017,Altitude,14.136,95,Low_Rated,Action
2017,Altitude,14.136,95,Low_Rated,Thriller
2006,"You, Me and Dupree",14.136,1106,Low_Rated,Comedy
2006,"You, Me and Dupree",14.136,1106,Low_Rated,Romance
2008,Knight Rider,14.135,37,Average_Performer,Science Fiction
2008,Knight Rider,14.135,37,Average_Performer,TV Movie
1983,Fearless Hyena 2,14.135,54,Low_Rated,Action
2006,Everyone's Hero,14.135,220,Low_Rated,Adventure
2006,Everyone's Hero,14.135,220,Low_Rated,Animation
2006,Everyone's Hero,14.135,220,Low_Rated,Comedy
2006,Everyone's Hero,14.135,220,Low_Rated,Family
2017,Mark Felt: The Man Who Brought Down the White House,14.133,406,Average_Performer,Drama
2017,Mark Felt: The Man Who Brought Down the White House,14.133,406,Average_Performer,History
2017,Mark Felt: The Man Who Brought Down the White House,14.133,406,Average_Performer,Thriller
2019,The Golden Glove,14.132,301,Well_Received,Drama
2019,The Golden Glove,14.132,301,Well_Received,Thriller
2019,The Golden Glove,14.132,301,Well_Received,Crime
2019,The Golden Glove,14.132,301,Well_Received,Horror
1992,Boomerang,14.132,441,Low_Rated,Comedy
1992,Boomerang,14.132,441,Low_Rated,Romance
1996,Hellraiser: Bloodline,14.132,363,Low_Rated,Horror
1996,Hellraiser: Bloodline,14.132,363,Low_Rated,Science Fiction
2021,The Survivalist,14.131,10,Low_Rated,Thriller
2021,The Survivalist,14.131,10,Low_Rated,Mystery
